"Gene.ID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Gene.Name"
"Os01g0609300",92294.5530866388,9.62414832682394,0.256070839166685,37.5839293460481,0,0,"OsPDR9"
"Os08g0482600",16300.4091443829,11.6879470863137,0.338266430725245,34.5524888805983,1.30781597332829e-261,1.51235839155684e-257,"OsUCL29"
"Os07g0418500",7591.61926721096,10.1270654683654,0.349021780104889,29.0155687857703,4.18630319189603e-185,3.22736067407238e-181,"OsCYP709C9"
"Os02g0806600",9601.03431482331,6.0024450666037,0.214351298221472,28.0028398073981,1.5004256957481e-172,8.67546137281552e-169,""
"Os08g0137900",20111.0305656167,12.3684331399782,0.453003746447351,27.3031586095628,3.89070156977186e-164,1.79968291811367e-160,"OsUCL25"
"Os04g0497000",4923.91707156524,10.1142894497166,0.374448377230935,27.0111718056098,1.0925406730544e-160,4.21138011440035e-157,"OsNADPH1"
"Os01g0975000",3342.55268219707,9.7625502753592,0.362320738240507,26.9444976370049,6.61735190721998e-160,2.18637307014548e-156,"OsDSR3"
"Os02g0605900",9501.98540174768,11.6696351369157,0.446827802960253,26.1166271651045,2.36040311522937e-150,6.82392540612811e-147,"Cht6"
"Os11g0213700",2271.27965837089,7.11499661602617,0.274760306487382,25.8952856290867,7.52587298924715e-148,1.93398211661453e-144,""
"Os10g0568900",3501.80599185394,6.79540989541839,0.268225542817162,25.3346859663195,1.32554517395467e-141,3.06572087832235e-138,""
"Os11g0306400",136851.160218475,-12.3296479304652,0.498750644205103,-24.7210666767477,6.34928324536041e-135,1.33496566271541e-131,""
"Os03g0236200",29119.0246985759,7.17818031157078,0.290860979636698,24.6790763083338,1.79430260075636e-134,3.45821921252442e-131,"OsGAD3"
"Os03g0386500",5553.17367584066,6.88518035472077,0.279981779680074,24.5915300723792,1.55628484964775e-133,2.76875046174255e-130,"OsTPP9"
"Os03g0586700",13698.9146735508,4.58202358549936,0.188347497965808,24.3274990907029,1.00338046953005e-130,1.65758453566365e-127,""
"Os01g0609200",24888.4664445505,10.2967385216184,0.424440669127492,24.2595473774582,5.2432891804484e-130,8.08445281102738e-127,"OsABCG35"
"Os11g0307300",18176.9674224115,-10.3095881204713,0.436308389965464,-23.6291310402887,1.9347823159269e-123,2.79672783767233e-120,""
"Os08g0431100",2245.47847481928,6.04280527341742,0.258184442055011,23.4049938304567,3.80140273383941e-121,5.17169661342576e-118,""
"Os01g0138400",4826.4776869117,5.51168137542535,0.241497801468213,22.8229049784986,2.71644270517787e-115,3.49032704918632e-112,""
"Os05g0474800",1935.25414270157,7.51022483040597,0.33455003579219,22.4487342009165,1.31667752431482e-111,1.60274304117648e-108,"OsWRKY70"
"Os06g0600301",1128.84313504519,8.300054472962,0.372544422891746,22.2793684805042,5.85779518160194e-110,6.77395434800448e-107,""
"Os01g0742400",1903.48178138087,10.019040631758,0.453591983828389,22.0882224310838,4.1022262624499e-108,4.51791852371148e-105,""
"Os08g0478500",2011.6288246179,5.25657172045712,0.238410336580402,22.048422043498,9.89128208959007e-108,1.03984350985472e-104,""
"Os12g0165900",13473.083983495,7.00844111097133,0.318315977046104,22.017245807163,1.968710453626e-107,1.97966675528096e-104,"OsNucAP2"
"Os06g0244000",3131.38545374875,-7.02742029372916,0.319525108323427,-21.9933273181647,3.33607324494271e-107,3.21486258370979e-104,""
"Os05g0553400",5914.43742664518,5.13110351306546,0.235579262618185,21.7807945234199,3.52899406065147e-105,3.26474298538989e-102,"OsMYB55"
"Os10g0191300",12912.5536227132,-8.24305185596821,0.383348568723574,-21.5027589209864,1.46702284495344e-102,1.30497324454166e-99,"OsPR1#101"
"Os09g0332600",3463.77007873407,9.14582987833127,0.428312262204708,21.3531824451014,3.64268372879825e-101,3.12029589924615e-98,""
"Os01g0609501",1392.41760391412,8.55804579784718,0.40165672263888,21.3068655782005,9.80431485279118e-101,8.09836406840551e-98,""
"Os06g0558766",4274.42395175736,5.35675721325023,0.252939077071286,21.1780531315077,1.52193553903317e-99,1.21376983264686e-96,""
"Os10g0492800",3797.17711322524,5.17988543010001,0.245396958355621,21.1081892164021,6.68866193057261e-99,5.15651243767611e-96,""
"Os11g0213800",1302.738458873,6.98459738269826,0.331734646117997,21.0547721331882,2.06775302458246e-98,1.54267715975946e-95,""
"Os07g0557100",18693.7014834992,3.85818653829143,0.184603412727502,20.8998657245118,5.36958103074911e-97,3.88086468997392e-94,""
"Os02g0208500",19994.0170859001,-8.27356762081541,0.398631957688124,-20.7549030157998,1.10705379791867e-95,7.75876976917061e-93,"OsCDT4"
"Os11g0644700",2252.76788889007,-4.80949701554217,0.23209111089662,-20.7224524755042,2.17328770151393e-95,1.47834699884159e-92,""
"Os08g0138100",3373.03979474284,10.474416810554,0.505944049443351,20.702717666268,3.27379023935965e-95,2.16332059016886e-92,"OsUCL26"
"Os03g0708200",1420.68534829748,8.52160925911672,0.411852764077256,20.6909119044257,4.18228545330605e-95,2.68688605455729e-92,"OsFbox169"
